name,weekly_gross_eur,annual_gross_eur,adjusted_gross_eur,position,age,country,club,season,league,verified,bonus_gross_eur,signed,expiration,years,total_gross_eur,release_eur,status,position_detail,active
Pedro Mosquera,"€ 29,231","€ 1,520,000","€ 1,647,537",M,32,Spain,Huesca,2020-2021,la-liga,,,,,,,,,,
David Soria,"€ 29,038","€ 1,510,000","€ 1,636,698",K,27,Spain,Getafe,2020-2021,la-liga,,,,,,,,,,
Victor Ruiz,"€ 28,846","€ 1,500,000","€ 1,625,859",D,31,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Sergi Guardiola,"€ 28,846","€ 1,500,000","€ 1,625,859",F,29,Spain,Valladolid,2020-2021,la-liga,,,,,,,,,,
Joaquin,"€ 28,846","€ 1,500,000","€ 1,625,859",F,39,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Florian Lejeune,"€ 28,846","€ 1,500,000","€ 1,625,859",D,29,France,Alaves,2020-2021,la-liga,,,,,,,,,,
Maxi Gomez,"€ 28,846","€ 1,500,000","€ 1,625,859",F,24,Uruguay,Valencia,2020-2021,la-liga,,,,,,,,,,
Yunus Musah,"€ 28,846","€ 1,500,000","€ 1,625,859",M,18,England,Valencia,2020-2021,la-liga,,,,,,,,,,
Inigo Lekue,"€ 28,846","€ 1,500,000","€ 1,625,859",D,27,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Aleix Vidal,"€ 28,846","€ 1,500,000","€ 1,625,859",D,31,Spain,Sevilla,2020-2021,la-liga,,,,,,,,,,
Sandro Ramirez,"€ 28,654","€ 1,490,000","€ 1,615,020",F,25,Spain,Huesca,2020-2021,la-liga,,,,,,,,,,
Oussama Idrissi,"€ 28,462","€ 1,480,000","€ 1,604,181",F,24,Morocco,Sevilla,2020-2021,la-liga,,,,,,,,,,
Abdoulay Diaby,"€ 28,462","€ 1,480,000","€ 1,604,181",F,29,Mali,Getafe,2020-2021,la-liga,,,,,,,,,,
Antonio Sanabria,"€ 28,269","€ 1,470,000","€ 1,593,341",F,24,Paraguay,Real Betis,2020-2021,la-liga,,,,,,,,,,
Sergio Leon,"€ 27,885","€ 1,450,000","€ 1,571,663",F,31,Spain,Levante,2020-2021,la-liga,,,,,,,,,,
Cristian Rivero,"€ 27,885","€ 1,450,000","€ 1,571,663",K,22,Spain,Valencia,2020-2021,la-liga,,,,,,,,,,
Tomas Pina,"€ 27,500","€ 1,430,000","€ 1,549,985",M,33,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Jaume Costa,"€ 27,500","€ 1,430,000","€ 1,549,985",D,32,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Inigo Vicente,"€ 27,500","€ 1,430,000","€ 1,549,985",F,22,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Alberto Moreno,"€ 26,923","€ 1,400,000","€ 1,517,468",D,28,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Lucas Perez,"€ 26,731","€ 1,390,000","€ 1,506,629",F,32,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Facundo Roncaglia,"€ 26,538","€ 1,380,000","€ 1,495,790",D,33,Argentina,Osasuna,2020-2021,la-liga,,,,,,,,,,
Angel Rodriguez,"€ 26,154","€ 1,360,000","€ 1,474,112",F,33,Spain,Getafe,2020-2021,la-liga,,,,,,,,,,
Darwin Machis,"€ 26,154","€ 1,360,000","€ 1,474,112",F,27,Venezuela,Granada,2020-2021,la-liga,,,,,,,,,,
Sergi Gomez,"€ 25,962","€ 1,350,000","€ 1,463,273",D,28,Spain,Sevilla,2020-2021,la-liga,,,,,,,,,,
Brais Mendez,"€ 25,962","€ 1,350,000","€ 1,463,273",F,23,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Pape Diop,"€ 25,577","€ 1,330,000","€ 1,441,595",M,34,Senegal,Eibar,2020-2021,la-liga,,,,,,,,,,
Juan Miranda,"€ 25,000","€ 1,300,000","€ 1,409,077",D,20,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Alvaro Negredo,"€ 24,808","€ 1,290,000","€ 1,398,238",F,35,Spain,Cadiz,2020-2021,la-liga,,,,,,,,,,
Roberto,"€ 24,231","€ 1,260,000","€ 1,365,721",K,34,Spain,Valladolid,2020-2021,la-liga,,,,,,,,,,
Domingos Duarte,"€ 24,231","€ 1,260,000","€ 1,365,721",D,25,Portugal,Granada,2020-2021,la-liga,,,,,,,,,,
Joselu,"€ 24,038","€ 1,250,000","€ 1,354,882",F,30,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Sidnei,"€ 23,846","€ 1,240,000","€ 1,344,043",D,31,Brazil,Real Betis,2020-2021,la-liga,,,,,,,,,,
Guido Carrillo,"€ 23,654","€ 1,230,000","€ 1,333,204",F,29,Argentina,Elche,2020-2021,la-liga,,,,,,,,,,
David Costas,"€ 23,462","€ 1,220,000","€ 1,322,365",D,25,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Dimitri Foulquier,"€ 23,077","€ 1,200,000","€ 1,300,687",D,27,Guadeloupe,Granada,2020-2021,la-liga,,,,,,,,,,
Juanmi,"€ 23,077","€ 1,200,000","€ 1,300,687",F,27,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Luuk de Jong,"€ 23,077","€ 1,200,000","€ 1,300,687",F,30,Netherlands,Sevilla,2020-2021,la-liga,,,,,,,,,,
Ander Capa,"€ 23,077","€ 1,200,000","€ 1,300,687",D,28,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Oscar Rodriguez,"€ 23,077","€ 1,200,000","€ 1,300,687",F,22,Spain,Sevilla,2020-2021,la-liga,,,,,,,,,,
Aissa Mandi,"€ 23,077","€ 1,200,000","€ 1,300,687",D,28,Algeria,Real Betis,2020-2021,la-liga,,,,,,,,,,
Igor Zubeldia,"€ 23,077","€ 1,200,000","€ 1,300,687",M,23,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Takashi Inui,"€ 23,077","€ 1,200,000","€ 1,300,687",F,32,Japan,Eibar,2020-2021,la-liga,,,,,,,,,,
Idrissa Doumbia,"€ 22,500","€ 1,170,000","€ 1,268,170",M,22,Cote d'Ivoire,Huesca,2020-2021,la-liga,,,,,,,,,,
Paulo Gazzaniga,"€ 22,308","€ 1,160,000","€ 1,257,331",K,29,Argentina,Elche,2020-2021,la-liga,,,,,,,,,,
Ruben Garcia,"€ 22,115","€ 1,150,000","€ 1,246,492",F,27,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Jonathan Calleri,"€ 21,731","€ 1,130,000","€ 1,224,814",F,27,Argentina,Osasuna,2020-2021,la-liga,,,,,,,,,,
Alexander Isak,"€ 21,538","€ 1,120,000","€ 1,213,974",F,21,Sweden,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
David Junca,"€ 21,538","€ 1,120,000","€ 1,213,974",D,26,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Dimitrios Siovas,"€ 21,346","€ 1,110,000","€ 1,203,135",D,32,Greece,Huesca,2020-2021,la-liga,,,,,,,,,,
Youssouf Kone,"€ 21,346","€ 1,110,000","€ 1,203,135",D,25,Mali,Elche,2020-2021,la-liga,,,,,,,,,,
Facundo Pellistri,"€ 21,346","€ 1,110,000","€ 1,203,135",F,19,Uruguay,Alaves,2020-2021,la-liga,,,,,,,,,,
Sergio Canales,"€ 21,154","€ 1,100,000","€ 1,192,296",F,29,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Jorge Saenz,"€ 21,154","€ 1,100,000","€ 1,192,296",D,23,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Joseph Aidoo,"€ 21,154","€ 1,100,000","€ 1,192,296",D,25,Ghana,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Yangel Herrera,"€ 21,154","€ 1,100,000","€ 1,192,296",M,22,Venezuela,Granada,2020-2021,la-liga,,,,,,,,,,
Jules Kounde,"€ 21,154","€ 1,100,000","€ 1,192,296",D,21,France,Sevilla,2020-2021,la-liga,,,,,,,,,,
Samuel Chukwueze,"€ 21,154","€ 1,100,000","€ 1,192,296",F,21,Nigeria,Villarreal,2020-2021,la-liga,,,,,,,,,,
Nacho Martinez,"€ 20,962","€ 1,090,000","€ 1,181,457",D,31,Spain,Valladolid,2020-2021,la-liga,,,,,,,,,,
Augusto Fernandez,"€ 20,962","€ 1,090,000","€ 1,181,457",M,34,Argentina,Cadiz,2020-2021,la-liga,,,,,,,,,,
Ruben Martinez,"€ 20,769","€ 1,080,000","€ 1,170,618",K,36,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Deyverson,"€ 20,769","€ 1,080,000","€ 1,170,618",F,29,Brazil,Alaves,2020-2021,la-liga,,,,,,,,,,
Roberto Soldado,"€ 20,769","€ 1,080,000","€ 1,170,618",F,35,Spain,Granada,2020-2021,la-liga,,,,,,,,,,
Luis Milla,"€ 20,577","€ 1,070,000","€ 1,159,779",M,26,Spain,Granada,2020-2021,la-liga,,,,,,,,,,
Pere Pons,"€ 20,192","€ 1,050,000","€ 1,138,101",M,27,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Ruben Pena,"€ 20,192","€ 1,050,000","€ 1,138,101",D,29,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Cristian Tello,"€ 20,000","€ 1,040,000","€ 1,127,262",F,29,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Enis Bardhi,"€ 19,615","€ 1,020,000","€ 1,105,584",M,25,North Macedonia,Levante,2020-2021,la-liga,,,,,,,,,,
Cucho Hernandez,"€ 19,423","€ 1,010,000","€ 1,094,745",F,21,Colombia,Getafe,2020-2021,la-liga,,,,,,,,,,
Takefusa Kubo,"€ 19,231","€ 1,000,000","€ 1,083,906",F,19,Japan,Getafe,2020-2021,la-liga,,,,,,,,,,
Carlos Fernandez,"€ 19,231","€ 1,000,000","€ 1,083,906",F,24,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Santiago Caseres,"€ 19,231","€ 1,000,000","€ 1,083,906",M,23,Argentina,Villarreal,2020-2021,la-liga,,,,,,,,,,
Aitor Fernandez,"€ 19,231","€ 1,000,000","€ 1,083,906",K,29,Spain,Levante,2020-2021,la-liga,,,,,,,,,,
Mikel Vesga,"€ 19,231","€ 1,000,000","€ 1,083,906",M,27,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Lucas Olaza,"€ 19,231","€ 1,000,000","€ 1,083,906",D,26,Uruguay,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Jon Guridi,"€ 19,231","€ 1,000,000","€ 1,083,906",M,25,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Takefusa Kubo,"€ 19,231","€ 1,000,000","€ 1,083,906",F,19,Japan,Villarreal,2020-2021,la-liga,,,,,,,,,,
Lucas Olaza,"€ 19,231","€ 1,000,000","€ 1,083,906",D,26,Uruguay,Valladolid,2020-2021,la-liga,,,,,,,,,,
Sergio Alvarez,"€ 19,038","€ 990,000","€ 1,073,067",M,28,Spain,Eibar,2020-2021,la-liga,,,,,,,,,,
Pablo Maffeo,"€ 18,846","€ 980,000","€ 1,062,228",D,23,Spain,Huesca,2020-2021,la-liga,,,,,,,,,,
Emre Mor,"€ 18,654","€ 970,000","€ 1,051,389",F,23,Turkey,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Francisco Portillo,"€ 18,654","€ 970,000","€ 1,051,389",F,30,Spain,Getafe,2020-2021,la-liga,,,,,,,,,,
Nikola Vukcevic,"€ 18,462","€ 960,000","€ 1,040,550",M,28,Montenegro,Levante,2020-2021,la-liga,,,,,,,,,,
Emerson,"€ 18,462","€ 960,000","€ 1,040,550",D,21,Brazil,Real Betis,2020-2021,la-liga,,,,,,,,,,
Loren Moron,"€ 18,462","€ 960,000","€ 1,040,550",F,26,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Ansu Fati,"€ 18,077","€ 940,000","€ 1,018,871",F,17,Spain,Barcelona,2020-2021,la-liga,,,,,,,,,,
Ante Palaversa,"€ 18,077","€ 940,000","€ 1,018,871",M,20,Croatia,Getafe,2020-2021,la-liga,,,,,,,,,,
Johan Mojica,"€ 17,885","€ 930,000","€ 1,008,032",D,28,Colombia,Elche,2020-2021,la-liga,,,,,,,,,,
Marko Dmitrovic,"€ 17,885","€ 930,000","€ 1,008,032",K,28,Serbia,Eibar,2020-2021,la-liga,,,,,,,,,,
Luismi,"€ 17,885","€ 930,000","€ 1,008,032",M,28,Spain,Elche,2020-2021,la-liga,,,,,,,,,,
Yassin Fekir,"€ 17,885","€ 930,000","€ 1,008,032",F,23,France,Real Betis,2020-2021,la-liga,,,,,,,,,,
Luca Sangalli,"€ 17,885","€ 930,000","€ 1,008,032",F,25,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Bobby Adekanye,"€ 17,692","€ 920,000","€ 997,193",F,21,Netherlands,Cadiz,2020-2021,la-liga,,,,,,,,,,
Paulo Oliveira,"€ 17,500","€ 910,000","€ 986,354",D,28,Portugal,Eibar,2020-2021,la-liga,,,,,,,,,,
Brandon,"€ 17,308","€ 900,000","€ 975,515",F,25,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Ronald Araujo,"€ 17,308","€ 900,000","€ 975,515",D,21,Uruguay,Barcelona,2020-2021,la-liga,,,,,,,,,,
Ruben Alcaraz,"€ 17,308","€ 900,000","€ 975,515",M,29,Spain,Valladolid,2020-2021,la-liga,,,,,,,,,,
Andoni Gorosabel,"€ 17,308","€ 900,000","€ 975,515",D,24,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Mikel Balenziaga,"€ 17,308","€ 900,000","€ 975,515",D,32,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Joel Robles,"€ 17,308","€ 900,000","€ 975,515",K,30,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Chimy Avila,"€ 17,308","€ 900,000","€ 975,515",F,26,Argentina,Osasuna,2020-2021,la-liga,,,,,,,,,,
Andres Fernandez,"€ 17,308","€ 900,000","€ 975,515",K,33,Spain,Huesca,2020-2021,la-liga,,,,,,,,,,
Victor Camarasa,"€ 17,115","€ 890,000","€ 964,676",M,26,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Uros Racic,"€ 16,923","€ 880,000","€ 953,837",M,22,Serbia,Valencia,2020-2021,la-liga,,,,,,,,,,
Unai Lopez,"€ 16,923","€ 880,000","€ 953,837",M,24,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Fede Vico,"€ 16,731","€ 870,000","€ 942,998",F,26,Spain,Granada,2020-2021,la-liga,,,,,,,,,,
Ander Guevara,"€ 16,731","€ 870,000","€ 942,998",M,23,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Nehuen Perez,"€ 16,538","€ 860,000","€ 932,159",D,20,Argentina,Granada,2020-2021,la-liga,,,,,,,,,,
Enes Unal,"€ 16,538","€ 860,000","€ 932,159",F,23,Turkey,Getafe,2020-2021,la-liga,,,,,,,,,,
Ivo Grbic,"€ 16,538","€ 860,000","€ 932,159",K,24,Croatia,Atletico Madrid,2020-2021,la-liga,,,,,,,,,,
Aihen Munoz,"€ 16,538","€ 860,000","€ 932,159",D,23,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Enric Gallego,"€ 16,538","€ 860,000","€ 932,159",F,34,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Pedro Leon,"€ 16,538","€ 860,000","€ 932,159",F,33,Spain,Eibar,2020-2021,la-liga,,,,,,,,,,
Sergi Enrich,"€ 16,346","€ 850,000","€ 921,320",F,30,Spain,Eibar,2020-2021,la-liga,,,,,,,,,,
Fernando Pacheco,"€ 16,346","€ 850,000","€ 921,320",K,28,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Recio,"€ 16,346","€ 850,000","€ 921,320",M,29,Spain,Eibar,2020-2021,la-liga,,,,,,,,,,
Adrian Lopez,"€ 16,154","€ 840,000","€ 910,481",F,32,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Jeremias Ledesma,"€ 16,154","€ 840,000","€ 910,481",K,27,Argentina,Cadiz,2020-2021,la-liga,,,,,,,,,,
Jens Jonsson,"€ 16,154","€ 840,000","€ 910,481",M,27,Denmark,Cadiz,2020-2021,la-liga,,,,,,,,,,
Ivan Saponjic,"€ 16,154","€ 840,000","€ 910,481",F,23,Serbia,Cadiz,2020-2021,la-liga,,,,,,,,,,
Luis Rioja,"€ 15,769","€ 820,000","€ 888,803",F,27,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Pablo Hervias,"€ 15,577","€ 810,000","€ 877,964",F,27,Spain,Valladolid,2020-2021,la-liga,,,,,,,,,,
David Garcia,"€ 15,385","€ 800,000","€ 867,125",D,26,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Yoel Rodriguez,"€ 15,385","€ 800,000","€ 867,125",K,32,Spain,Eibar,2020-2021,la-liga,,,,,,,,,,
Mouctar Diakhaby,"€ 15,385","€ 800,000","€ 867,125",D,23,France,Valencia,2020-2021,la-liga,,,,,,,,,,
Luis Suarez,"€ 15,385","€ 800,000","€ 867,125",F,22,Colombia,Granada,2020-2021,la-liga,,,,,,,,,,
Ante Budimir,"€ 15,385","€ 800,000","€ 867,125",F,29,Croatia,Osasuna,2020-2021,la-liga,,,,,,,,,,
Manu Sanchez,"€ 15,000","€ 780,000","€ 845,446",D,20,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Miguel Baeza,"€ 15,000","€ 780,000","€ 845,446",F,20,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Fran Beltran,"€ 14,808","€ 770,000","€ 834,607",M,21,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Manu Garcia,"€ 14,808","€ 770,000","€ 834,607",M,34,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Ruben Vezo,"€ 14,423","€ 750,000","€ 812,929",D,26,Portugal,Levante,2020-2021,la-liga,,,,,,,,,,
Pedro Alcala,"€ 14,231","€ 740,000","€ 802,090",D,31,Spain,Cadiz,2020-2021,la-liga,,,,,,,,,,
Pedro Bigas,"€ 14,231","€ 740,000","€ 802,090",D,30,Spain,Eibar,2020-2021,la-liga,,,,,,,,,,
Javi Ontiveros,"€ 13,846","€ 720,000","€ 780,412",F,23,Spain,Huesca,2020-2021,la-liga,,,,,,,,,,
Edu Exposito,"€ 13,846","€ 720,000","€ 780,412",M,24,Spain,Eibar,2020-2021,la-liga,,,,,,,,,,
Roberto Torres,"€ 13,654","€ 710,000","€ 769,573",F,31,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Marcos Andre,"€ 13,462","€ 700,000","€ 758,734",F,24,Brazil,Valladolid,2020-2021,la-liga,,,,,,,,,,
Moi Gomez,"€ 13,462","€ 700,000","€ 758,734",F,26,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Roger Marti,"€ 13,462","€ 700,000","€ 758,734",F,29,Spain,Levante,2020-2021,la-liga,,,,,,,,,,
Ruben Sobrino,"€ 13,462","€ 700,000","€ 758,734",F,28,Spain,Valencia,2020-2021,la-liga,,,,,,,,,,
Angel Montoro,"€ 13,462","€ 700,000","€ 758,734",M,32,Spain,Granada,2020-2021,la-liga,,,,,,,,,,
Ruben Sobrino,"€ 13,462","€ 700,000","€ 758,734",F,28,Spain,Cadiz,2020-2021,la-liga,,,,,,,,,,
Shinji Okazaki,"€ 13,269","€ 690,000","€ 747,895",F,34,Japan,Huesca,2020-2021,la-liga,,,,,,,,,,
Jota,"€ 13,269","€ 690,000","€ 747,895",F,21,Portugal,Valladolid,2020-2021,la-liga,,,,,,,,,,
Ramon Azeez,"€ 13,269","€ 690,000","€ 747,895",M,27,Nigeria,Granada,2020-2021,la-liga,,,,,,,,,,
Jonas Ramalho,"€ 13,077","€ 680,000","€ 737,056",D,27,Angola,Osasuna,2020-2021,la-liga,,,,,,,,,,
Nemanja Radoja,"€ 13,077","€ 680,000","€ 737,056",M,27,Serbia,Levante,2020-2021,la-liga,,,,,,,,,,
Coke,"€ 13,077","€ 680,000","€ 737,056",D,33,Spain,Levante,2020-2021,la-liga,,,,,,,,,,
Jairo Izquierdo,"€ 13,077","€ 680,000","€ 737,056",F,26,Spain,Cadiz,2020-2021,la-liga,,,,,,,,,,
Alex Moreno,"€ 13,077","€ 680,000","€ 737,056",D,27,Spain,Real Betis,2020-2021,la-liga,,,,,,,,,,
Jawad El Yamiq,"€ 12,885","€ 670,000","€ 726,217",D,28,Morocco,Valladolid,2020-2021,la-liga,,,,,,,,,,
David Timor,"€ 12,692","€ 660,000","€ 715,378",M,31,Spain,Getafe,2020-2021,la-liga,,,,,,,,,,
Augusto Solari,"€ 12,692","€ 660,000","€ 715,378",F,29,Argentina,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Robin Le Normand,"€ 12,500","€ 650,000","€ 704,539",D,23,France,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Juan Perez,"€ 12,500","€ 650,000","€ 704,539",K,24,Spain,Osasuna,2020-2021,la-liga,,,,,,,,,,
Rodrigo Ely,"€ 12,500","€ 650,000","€ 704,539",D,26,Brazil,Alaves,2020-2021,la-liga,,,,,,,,,,
Ander Barrenetxea,"€ 12,500","€ 650,000","€ 704,539",F,18,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Edgar Badia,"€ 12,500","€ 650,000","€ 704,539",K,28,Spain,Elche,2020-2021,la-liga,,,,,,,,,,
Victor Laguardia,"€ 12,500","€ 650,000","€ 704,539",D,30,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Antonio Puertas,"€ 12,308","€ 640,000","€ 693,700",F,28,Spain,Granada,2020-2021,la-liga,,,,,,,,,,
Bruno Gonzalez,"€ 12,308","€ 640,000","€ 693,700",D,30,Spain,Valladolid,2020-2021,la-liga,,,,,,,,,,
German Sanchez,"€ 12,308","€ 640,000","€ 693,700",D,33,Spain,Granada,2020-2021,la-liga,,,,,,,,,,
Carles Alena,"€ 12,115","€ 630,000","€ 682,861",M,23,Spain,Getafe,2020-2021,la-liga,,,,,,,,,,
Carles Alena,"€ 12,115","€ 630,000","€ 682,861",M,22,Spain,Barcelona,2020-2021,la-liga,,,,,,,,,,
Fidel,"€ 11,923","€ 620,000","€ 672,022",F,30,Spain,Elche,2020-2021,la-liga,,,,,,,,,,
Allan Nyom,"€ 11,923","€ 620,000","€ 672,022",D,32,Cameroon,Getafe,2020-2021,la-liga,,,,,,,,,,
Darko Brasanac,"€ 11,923","€ 620,000","€ 672,022",M,28,Serbia,Osasuna,2020-2021,la-liga,,,,,,,,,,
Emiliano Rigoni,"€ 11,923","€ 620,000","€ 672,022",F,27,Argentina,Elche,2020-2021,la-liga,,,,,,,,,,
Damian Suarez,"€ 11,923","€ 620,000","€ 672,022",D,32,Uruguay,Getafe,2020-2021,la-liga,,,,,,,,,,
Kang-in Lee,"€ 11,923","€ 620,000","€ 672,022",F,19,South Korea,Valencia,2020-2021,la-liga,,,,,,,,,,
Christian Oliva,"€ 11,923","€ 620,000","€ 672,022",M,24,Uruguay,Valencia,2020-2021,la-liga,,,,,,,,,,
Mathias Olivera,"€ 11,923","€ 620,000","€ 672,022",D,22,Uruguay,Getafe,2020-2021,la-liga,,,,,,,,,,
Choco Lozano,"€ 11,923","€ 620,000","€ 672,022",F,27,Honduras,Cadiz,2020-2021,la-liga,,,,,,,,,,
Javi Galan,"€ 11,538","€ 600,000","€ 650,343",D,25,Spain,Huesca,2020-2021,la-liga,,,,,,,,,,
Oihan Sancet,"€ 11,538","€ 600,000","€ 650,343",F,20,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Juan Cala,"€ 11,154","€ 580,000","€ 628,665",D,30,Spain,Cadiz,2020-2021,la-liga,,,,,,,,,,
Alberto Soro,"€ 11,154","€ 580,000","€ 628,665",F,21,Spain,Granada,2020-2021,la-liga,,,,,,,,,,
Ruben Duarte,"€ 10,962","€ 570,000","€ 617,826",D,25,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Jorge Pombo,"€ 10,962","€ 570,000","€ 617,826",F,26,Spain,Cadiz,2020-2021,la-liga,,,,,,,,,,
Martin Merquelanz,"€ 10,769","€ 560,000","€ 606,987",F,25,Spain,Real Sociedad,2020-2021,la-liga,,,,,,,,,,
Carlos Fernandez,"€ 10,769","€ 560,000","€ 606,987",F,24,Spain,Sevilla,2020-2021,la-liga,,,,,,,,,,
Sergio Gomez,"€ 10,769","€ 560,000","€ 606,987",F,20,Spain,Huesca,2020-2021,la-liga,,,,,,,,,,
Fede San Emeterio,"€ 10,577","€ 550,000","€ 596,148",M,23,Spain,Valladolid,2020-2021,la-liga,,,,,,,,,,
Mikel Rico,"€ 10,577","€ 550,000","€ 596,148",M,35,Spain,Huesca,2020-2021,la-liga,,,,,,,,,,
Matheus Fernandes,"€ 10,577","€ 550,000","€ 596,148",M,22,Brazil,Barcelona,2020-2021,la-liga,,,,,,,,,,
Kike Garcia,"€ 10,192","€ 530,000","€ 574,470",F,30,Spain,Eibar,2020-2021,la-liga,,,,,,,,,,
Jaime Seoane,"€ 10,192","€ 530,000","€ 574,470",M,23,Spain,Huesca,2020-2021,la-liga,,,,,,,,,,
Mickael Malsa,"€ 10,192","€ 530,000","€ 574,470",M,25,Martinique,Levante,2020-2021,la-liga,,,,,,,,,,
Cheick Doukoure,"€ 10,192","€ 530,000","€ 574,470",M,28,Cote d'Ivoire,Levante,2020-2021,la-liga,,,,,,,,,,
Anaitz Arbilla,"€ 10,192","€ 530,000","€ 574,470",D,33,Spain,Eibar,2020-2021,la-liga,,,,,,,,,,
Domingos Quina,"€ 10,000","€ 520,000","€ 563,631",M,21,Portugal,Granada,2020-2021,la-liga,,,,,,,,,,
John Guidetti,"€ 10,000","€ 520,000","€ 563,631",F,28,Sweden,Alaves,2020-2021,la-liga,,,,,,,,,,
Kiko Olivas,"€ 9,808","€ 510,000","€ 552,792",D,32,Spain,Valladolid,2020-2021,la-liga,,,,,,,,,,
Daniel Raba,"€ 9,615","€ 500,000","€ 541,953",F,24,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Fer Nino,"€ 9,615","€ 500,000","€ 541,953",F,20,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Jon Morcillo,"€ 9,615","€ 500,000","€ 541,953",F,22,Spain,Athletic Club,2020-2021,la-liga,,,,,,,,,,
Edgar Mendez,"€ 9,615","€ 500,000","€ 541,953",F,30,Spain,Alaves,2020-2021,la-liga,,,,,,,,,,
Alex Baena,"€ 9,615","€ 500,000","€ 541,953",F,19,Spain,Villarreal,2020-2021,la-liga,,,,,,,,,,
Kevin Rodrigues,"€ 9,615","€ 500,000","€ 541,953",D,26,Portugal,Eibar,2020-2021,la-liga,,,,,,,,,,
Alfonso Espino,"€ 9,615","€ 500,000","€ 541,953",D,28,Uruguay,Cadiz,2020-2021,la-liga,,,,,,,,,,
Kevin Vazquez,"€ 9,615","€ 500,000","€ 541,953",D,27,Spain,Celta Vigo,2020-2021,la-liga,,,,,,,,,,
Carlos Clerc,"€ 9,615","€ 500,000","€ 541,953",D,28,Spain,Levante,2020-2021,la-liga,,,,,,,,,,
Yan Eteki,"€ 9,615","€ 500,000","€ 541,953",M,23,Cameroon,Granada,2020-2021,la-liga,,,,,,,,,,
Raul Carnero,"€ 9,615","€ 500,000","€ 541,953",D,31,Spain,Valladolid,2020-2021,la-liga,,,,,,,,,,
Tono,"€ 9,615","€ 500,000","€ 541,953",D,30,Spain,Levante,2020-2021,la-liga,,,,,,,,,,
